,Station Name,Coordinates,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
72,Sutter Ave,"40.6691450006139,-73.9019160004208",0,0,0,3,0,1,1,0,8,2
73,Wilson Ave,"40.6888665424602,-73.9039586049186",1,2,0,1,0,0,4,0,2,1
74,Halsey St,"40.6864152707043,-73.9166388842194",5,1,0,14,1,2,6,3,14,4
75,Lorimer St,"40.703844000042,-73.947354998842",2,0,0,9,0,1,6,3,10,3
76,8th Ave,"40.6349709996471,-74.0115159977215",0,0,0,12,4,1,65,0,24,6
77,36th Ave,"40.7564420005104,-73.929861999118",1,1,0,29,6,2,20,3,27,3
78,Broadway,"40.7614319988005,-73.925822999199",1,1,0,37,11,6,31,4,34,4
79,Times Sq - 42nd St,"40.7546119985154,-73.9867680015397",13,12,2,27,15,32,125,3,140,18
80,Grand Central - 42nd St,"40.7527686667421,-73.979188999891",6,11,2,29,14,21,146,3,180,60
81,Park Pl,"40.6747716668526,-73.9576240007463",3,3,0,21,4,5,23,10,27,5
82,111th St,"40.6843310000123,-73.8321629984538",1,1,0,4,4,0,3,0,11,2
83,W 4th St - Washington Sq (Lower),"40.7322544933678,-74.0003081475597",10,16,0,30,11,10,53,23,92,12
84,51st St,"40.7571069998931,-73.9719200006998",3,2,1,30,12,20,110,9,96,30
85,86th St,"40.7886440007389,-73.9762179985932",7,2,0,6,2,9,36,7,57,8
86,233rd St,"40.8931432413837,-73.8573623952154",0,0,0,15,0,0,13,0,20,3
87,66th St - Lincoln Ctr,"40.7734400005203,-73.9822089999578",40,14,0,28,6,26,54,5,38,13
88,Hunts Point Ave,"40.820947998523,-73.8905490001734",1,1,0,10,0,3,13,1,21,4
89,Canal St,"40.7228539977878,-74.0062770001748",6,7,0,17,9,19,109,3,37,15
90,Middletown Rd,"40.8438630012838,-73.8363219975594",0,0,0,4,1,1,9,0,4,3
91,23rd St,"40.7398640004746,-73.9865990020788",9,19,0,29,15,18,113,11,102,19
92,Court Sq,"40.7470229988964,-73.9452640003967",6,5,0,21,1,6,32,4,16,7
93,59th St - Columbus Circle,"40.7682470006368,-73.9819290023271",14,15,3,26,13,25,105,9,128,22
94,Hunters Point Ave,"40.7422159998631,-73.9489160009391",1,0,0,2,0,2,9,2,9,5
95,23rd St,"40.7440809998975,-73.9956570016487",9,16,1,18,10,21,98,10,120,12
96,Houston St,"40.7282510007302,-74.0053670018058",8,3,0,29,9,17,121,12,42,12
97,104th St,"40.6817110010911,-73.8376830006099",2,0,1,6,3,3,11,0,38,3
98,Broad Channel,"40.6084021806968,-73.8158326878296",1,0,0,3,0,4,1,0,0,1
99,Ocean Pkwy,"40.5763116670809,-73.9685009997517",1,1,1,7,0,4,21,5,18,3
100,Vernon Blvd - Jackson Ave,"40.7426259996974,-73.9535809987524",6,0,1,31,6,13,28,10,22,7
101,68th St - Hunter College,"40.7681410004967,-73.9638700015804",8,53,0,2,2,6,84,7,55,10
102,Queensboro Plz,"40.7506356510148,-73.9401635351909",0,4,0,33,3,11,43,11,25,10
103,Rockaway Blvd,"40.6804289995884,-73.8438529979573",1,2,0,17,1,4,14,0,29,5
104,Union Sq - 14th St,"40.7346730009961,-73.9899509988188",18,21,1,18,10,32,137,7,112,14
105,Bedford - Nostrand Aves,"40.6896270015844,-73.9535220006402",3,1,0,12,5,1,6,11,20,6
106,15th St - Prospect Park,"40.6600356881002,-73.9797358059287",2,1,0,16,3,5,14,3,23,4
107,7th Ave,"40.6662446900198,-73.9802511790094",2,3,0,26,1,6,46,5,31,5
108,Ft Hamilton Pkwy,"40.6507816680341,-73.9757759991747",1,0,0,4,0,5,7,2,3,0
109,Church Ave,"40.6442720001299,-73.9797211622908",2,1,1,17,2,4,8,2,26,3
110,Beverly Rd,"40.6439045986041,-73.9643577962312",1,1,0,1,0,1,4,1,3,1
111,Church Ave,"40.6504932464648,-73.9628824619211",1,0,0,18,0,3,7,10,13,1
112,Newkirk Ave,"40.6351419373378,-73.9626948683726",0,0,0,20,3,1,14,0,20,1
113,Parkside Ave,"40.6550730416371,-73.9614534398764",3,0,0,21,5,4,10,9,30,2
114,Grand Army Plaza,"40.6752946951032,-73.9709563319228",5,1,0,5,1,9,26,5,11,5
115,Atlantic Av - Barclay's Center,"40.6844201652676,-73.9775499353938",3,3,1,19,4,8,45,3,62,17
116,Rockaway Ave,"40.6783399998835,-73.9119459972661",0,1,0,6,2,1,5,1,8,4
117,Fulton St,"40.6871189995077,-73.9753749983314",4,4,0,26,9,4,31,4,45,6
118,Clinton - Washington Aves,"40.6880940010605,-73.9667959986695",6,3,0,3,1,4,13,8,9,6
119,7th Ave,"40.6771021798329,-73.9728527919102",3,3,0,23,5,6,21,6,35,4
120,Atlantic Av - Barclay's Center,"40.6844883234536,-73.9767834396316",3,3,1,20,5,7,42,3,62,14
121,Atlantic Av - Barclay's Center,"40.6836656672794,-73.9788099995676",2,3,1,15,5,9,29,4,57,18
122,Borough Hall,"40.692403999991,-73.9901510009053",7,24,0,8,2,16,118,5,136,10
123,Aqueduct Racetrack,"40.6720969991728,-73.8359189996516",0,0,0,0,0,1,0,0,1,1
124,Morris Park,"40.8543639996642,-73.8604950011725",0,0,0,2,1,2,2,1,2,1
125,Pelham Pkwy,"40.8589849998201,-73.8553590004356",0,1,0,1,0,2,6,1,0,4
126,Nostrand Ave,"40.6804380000622,-73.9504260009968",2,3,0,28,6,3,13,4,62,5
127,Nevins St,"40.6883105801902,-73.9804067987457",5,6,0,25,6,14,50,7,48,9
128,Eastern Pkwy - Bklyn Museum,"40.6720322354592,-73.9642220374842",4,0,1,9,3,6,3,6,8,2
129,Beverly Rd,"40.6451235189437,-73.948847983817",1,1,0,5,4,0,5,2,9,1
130,Church Ave,"40.6508606878022,-73.9494551403533",5,2,0,22,4,4,13,2,54,3
131,Newkirk Ave,"40.6399912427531,-73.948299908224",0,1,0,12,1,1,8,1,18,3
132,Brooklyn College - Flatbush Ave,"40.6328424070074,-73.947541207344",1,4,0,28,1,5,27,3,55,7
133,Sterling St,"40.6627729934283,-73.9507289112493",1,0,0,19,2,3,11,4,16,5
134,Crown Hts - Utica Ave,"40.668978311078,-73.9329325608185",0,0,0,18,0,4,16,6,29,6
135,Kingston Ave,"40.6694814486497,-73.9421597839296",3,6,0,15,5,1,11,1,20,1
136,Nassau Ave,"40.7244799978082,-73.9511830001652",7,1,0,44,13,5,30,6,68,6
137,Greenpoint Ave,"40.7312669997146,-73.9544250014623",5,0,0,32,5,3,37,8,39,4
138,Marcy Ave,"40.7083830000179,-73.9578320007572",4,0,0,15,8,10,31,4,28,9
139,Hewes St,"40.706889998054,-73.9534880003845",9,1,0,3,5,9,11,4,23,5
140,138th St - Grand Concourse,"40.813223999589,-73.9298489993561",0,1,0,3,0,1,6,0,6,3
141,5th Ave - 53rd St,"40.7600868323132,-73.9752485052734",9,4,0,16,11,21,137,4,162,21
142,Lexington Ave - 53rd St,"40.7574683078286,-73.969072374902",6,5,1,39,25,25,133,3,101,17
143,28th St,"40.7454539997995,-73.9886980012873",26,11,2,31,21,46,132,3,173,26
144,Herald Sq - 34th St,"40.7496445600944,-73.9879368338264",8,22,2,23,13,28,107,3,170,37
145,1st Ave,"40.7309749758006,-73.9816808748912",5,6,0,44,11,11,43,5,60,14
146,Times Sq - 42nd St,"40.75598300057,-73.986228999532",37,11,1,26,20,35,125,4,145,24
147,Metropolitan Ave,"40.7127740007342,-73.9514239994525",4,2,0,18,10,8,18,4,23,10
148,Grand St,"40.7115760006482,-73.9404969987464",5,2,0,19,2,2,13,4,16,5
149,Graham Ave,"40.7145759983636,-73.9439439986903",4,1,0,11,7,4,19,4,39,4
150,Bedford Ave,"40.7171739985889,-73.9566649980652",17,2,0,37,10,8,45,1,77,10
151,Montrose Ave,"40.7073910643845,-73.939792847135",5,2,2,17,6,6,11,11,10,3
152,Long Island City - Court Sq,"40.7463050335714,-73.9438155959783",5,4,0,22,1,8,28,2,18,5
153,21st St,"40.7441286664954,-73.9495999997552",1,0,0,6,1,5,10,8,7,5
154,39th Ave,"40.7527630614084,-73.9328513767959",0,1,0,12,5,7,18,2,10,8
155,145th St,"40.8265509996219,-73.9503599987971",1,0,0,16,2,4,11,13,31,4
156,157th St,"40.8340410001399,-73.9448899990104",5,1,0,12,3,5,11,4,24,5
157,96th St,"40.7939190012147,-73.9723229991569",6,1,0,39,5,8,43,8,50,14
158,103rd St,"40.7994460003348,-73.9683789996081",6,1,0,33,4,13,27,3,49,7
159,Central Park North (110th St),"40.7990749997732,-73.9518220017691",3,1,0,9,1,9,12,9,6,7
160,103rd St,"40.7960607399045,-73.9613700826761",4,0,0,2,1,10,8,12,4,3
161,72nd St,"40.7784530006861,-73.9819700015958",11,6,0,26,6,28,83,11,103,13
162,81st St,"40.781346084182,-73.972097949372",40,1,0,7,0,9,15,4,6,2
163,75th Ave,"40.7180446534874,-73.8369236938715",2,0,0,11,4,7,83,2,19,4
164,86th St,"40.7858230467855,-73.9688284942967",4,4,0,3,0,10,36,12,7,6
165,Cathedral Pkwy (110th St),"40.8039669996148,-73.9668470005456",4,7,0,25,2,2,15,14,32,5
166,116th St - Columbia University,"40.8077220012308,-73.9641099975775",5,116,0,6,3,12,24,7,19,5
167,125th St,"40.8077539991828,-73.9454950001141",3,4,0,31,6,2,35,6,46,10
168,135th St,"40.8142290003391,-73.940770001067",4,1,0,7,1,4,27,4,14,7
169,116th St,"40.802097999133,-73.949625000969",4,1,0,12,1,7,18,4,31,6
170,Tremont Ave,"40.8504099995102,-73.9052270012235",1,0,0,7,0,0,10,3,6,4
171,137th St - City College,"40.8220079996847,-73.9536760008787",0,5,0,24,1,6,12,14,23,3
172,145th St,"40.8204209996927,-73.9362449987329",1,0,0,11,1,3,6,1,4,6
173,176th St,"40.8484800012369,-73.9117939988447",1,1,0,8,2,1,2,0,12,3
174,Burnside Ave,"40.8534530015569,-73.9076840015997",0,2,0,23,2,1,7,2,23,4
175,170th St,"40.8393059996415,-73.9133999984698",0,2,0,5,0,1,9,2,10,5
176,168th St,"40.8405559991485,-73.9401329990725",4,19,0,15,1,7,53,3,16,8
177,181st St,"40.8495049997406,-73.9335959996056",1,2,0,25,2,2,31,3,63,7
178,191st St,"40.8552250017583,-73.9294119974203",1,1,0,19,1,2,10,10,17,2
179,175th St,"40.847391000724,-73.9397039976159",6,1,0,18,5,4,8,12,13,9
180,Beach 44th St,"40.5929429990861,-73.776012999995",0,0,0,0,0,1,2,0,0,2
181,Beach 60th St,"40.5923740012123,-73.7885219980118",0,0,0,0,0,2,3,3,1,2
182,Beach 98th St,"40.5853856913327,-73.8205205895952",0,0,0,8,0,2,1,2,5,3
183,Rockaway Park - Beach 116 St,"40.5809558655735,-73.8355900870123",5,0,0,16,6,2,7,0,20,5
184,Beach 36th St,"40.5953980016687,-73.7681749993968",0,0,0,0,0,0,1,0,0,1
185,Beach 25th St,"40.6000660010588,-73.7613529976207",1,0,0,4,0,3,1,0,3,3
186,Parsons Blvd,"40.7075719996156,-73.8032890002188",0,0,0,14,3,0,12,0,14,6
187,169th St,"40.710517502784,-73.7934741992772",0,1,0,17,1,0,11,0,14,5
188,103rd St - Corona Plaza,"40.7498650005555,-73.8626999983041",1,0,0,24,4,3,26,0,32,2
189,111th St,"40.7517299994171,-73.8553339983488",0,0,0,0,0,0,0,0,0,0
190,63rd Dr - Rego Park,"40.7297639724224,-73.861618200972",0,0,0,0,0,0,0,0,0,0
191,Grant Ave,"40.6770440005447,-73.865049998777",1,0,0,18,2,1,0,0,7,6
192,79th St,"40.7839339995903,-73.9799170005613",3,3,0,29,1,2,32,6,57,6
193,Atlantic Ave,"40.675344666408,-73.9030969995401",0,0,0,7,2,0,8,0,9,4
194,Christopher St - Sheridan Sq,"40.7334220010422,-74.0029059985523",5,1,1,31,11,7,53,15,79,15
195,Ozone Park - Lefferts Blvd,"40.6859509987836,-73.8257979990661",1,0,0,1,4,0,4,1,5,8
196,Times Sq - 42nd St,"40.7554770019825,-73.9876909982515",16,6,0,38,30,8,39,3,151,5
197,W 8th St - NY Aquarium,"40.5760338181036,-73.9759578741382",0,0,0,13,1,0,14,1,33,1
198,28th St,"40.7472149991821,-73.9933650013432",28,14,1,23,15,23,127,2,135,19
199,28th St,"40.743069999259,-73.984264001104",1,0,0,2,0,1,4,2,2,1
200,Pelham Bay Park,"40.8524619995166,-73.8281210005928",29,34,3,18,16,41,143,2,126,17
201,Westchester Sq - E Tremont Ave,"40.8398920010139,-73.8429519992501",9,11,3,37,22,18,119,6,125,22
202,18th St,"40.7410399998021,-73.997871000604",0,0,0,12,1,4,18,1,12,6
203,Grand Central - 42nd St,"40.7514310002868,-73.976041001115",1,1,0,11,0,3,26,0,20,3
204,Beach 67th St,"40.5909270007813,-73.7969239998421",9,5,0,17,11,21,100,5,78,5
205,W 4th St - Washington Sq (Upper),"40.7323379977432,-74.0004950022543",3,14,4,32,17,24,147,6,171,56
206,85th St - Forest Pky,"40.692426999661,-73.8600870000687",0,0,0,4,0,2,4,1,3,2
207,Woodhaven Blvd,"40.693703998801,-73.8520519974079",8,12,0,32,10,9,54,24,96,12
208,111th St,"40.6971148106964,-73.8367933845469",0,0,0,10,4,0,7,0,13,2
209,121st St,"40.7004819985153,-73.8283490001795",3,1,0,24,0,2,6,0,23,2
210,Halsey St,"40.6955180011487,-73.9039340011863",0,1,0,13,1,2,13,0,14,4
211,Myrtle - Wyckoff Aves,"40.6994710624271,-73.9109757182647",0,0,0,6,2,0,5,0,10,3
212,New Lots Ave,"40.6663149325969,-73.8841107080032",6,0,0,7,5,2,5,0,8,3
213,Van Siclen Ave,"40.672709999061,-73.8903580002471",0,3,0,20,4,4,8,3,32,12
214,Cleveland St,"40.6797779989611,-73.8851940021643",0,0,0,9,1,2,1,0,7,3
215,Livonia Ave,"40.6640572709464,-73.9005623722605",0,0,0,5,1,2,3,0,9,1
216,Junius St,"40.6635890018172,-73.9024486418356",0,0,0,6,2,0,2,0,12,1
